Date,Open,High,Low,Close,Volume,Adj Close
2003-07-08,1532.23,1535.24,1513.13,1518.95,344369400,1518.95
2003-07-07,1490.87,1518.08,1489.46,1516.09,306532600,1516.09
2003-07-04,1479.80,1487.67,1478.67,1486.24,135276800,1486.24
2003-07-03,1491.98,1497.11,1479.98,1482.93,338992600,1482.93
2003-07-02,1466.05,1477.17,1457.46,1477.17,177076400,1477.17
2003-07-01,1448.96,1465.87,1442.39,1457.18,134488800,1457.18
2003-06-30,1472.08,1473.70,1447.89,1447.89,160138600,1447.89
2003-06-27,1474.03,1487.19,1461.55,1477.73,262383400,1477.73
2003-06-26,1462.57,1464.82,1448.07,1458.02,183804800,1458.02
2003-06-25,1464.21,1473.22,1462.28,1462.57,399808200,1462.57
2003-06-24,1478.05,1487.99,1464.21,1464.21,139326400,1464.21
2003-06-23,1523.27,1523.27,1491.50,1491.79,173942800,1491.79
2003-06-20,1511.37,1521.90,1505.74,1519.16,165552600,1519.16
2003-06-19,1486.98,1521.15,1486.85,1521.15,182536200,1521.15
2003-06-18,1496.17,1498.74,1484.87,1486.70,205494800,1486.70
2003-06-17,1491.81,1495.73,1486.82,1493.69,182147400,1493.69
2003-06-16,1470.04,1476.75,1459.79,1465.16,141281800,1465.16
2003-06-13,1485.17,1490.10,1470.89,1479.30,174900000,1479.30
2003-06-12,1460.99,1480.62,1456.07,1479.41,239579800,1479.41
2003-06-11,1455.01,1462.40,1443.43,1448.79,272202600,1448.79
2003-06-10,1434.98,1444.18,1428.11,1440.92,229342000,1440.92
2003-06-09,1437.09,1447.35,1428.86,1443.73,218335200,1443.73
2003-06-06,1431.29,1439.45,1422.93,1439.25,195390400,1439.25
2003-06-05,1415.91,1443.18,1415.17,1427.61,296830600,1427.61
2003-06-04,1387.68,1401.56,1387.68,1401.20,193780400,1401.20
2003-06-03,1383.42,1395.11,1374.91,1378.39,289172200,1378.39
2003-06-02,1366.96,1385.90,1365.15,1380.72,327552400,1380.72
2003-05-30,1344.08,1364.75,1343.14,1349.00,322452600,1349.00
2003-05-29,1339.45,1351.57,1329.19,1344.30,200170000,1344.30
2003-05-28,1332.14,1338.60,1327.95,1338.60,209578600,1338.60
2003-05-27,1336.15,1337.56,1322.75,1325.30,136368600,1325.30
2003-05-26,1318.79,1335.96,1318.79,1335.34,176644800,1335.34
2003-05-23,1316.08,1323.23,1310.93,1318.14,163746000,1318.14
2003-05-22,1291.47,1309.21,1291.47,1305.70,151710200,1305.70
2003-05-21,1299.43,1304.49,1290.46,1290.73,108624000,1290.73
2003-05-20,1285.12,1306.18,1283.88,1299.23,150052000,1299.23
2003-05-19,1298.43,1300.06,1291.69,1292.89,94974000,1292.89
2003-05-16,1307.68,1310.67,1299.66,1304.91,145734400,1304.91
2003-05-14,1311.81,1315.92,1306.45,1311.00,147372800,1311.00
2003-05-13,1339.04,1340.41,1321.97,1323.16,179308800,1323.16
2003-05-12,1320.04,1333.79,1320.04,1327.42,208054800,1327.42
2003-05-09,1310.70,1314.91,1306.33,1309.60,153841200,1309.60
2003-05-08,1305.13,1320.93,1304.95,1317.91,234728200,1317.91
2003-05-07,1318.85,1321.14,1302.26,1307.52,253259200,1307.52
2003-05-06,1323.21,1324.01,1312.54,1315.61,269358600,1315.61
2003-05-05,1310.74,1326.33,1310.74,1325.19,174089600,1325.19
2003-05-02,1278.53,1299.96,1277.76,1299.22,151448800,1299.22
2003-04-30,1287.11,1287.11,1271.57,1281.33,139665800,1281.33
2003-04-29,1256.58,1298.68,1255.63,1284.61,242194800,1284.61
2003-04-28,1225.07,1247.30,1225.07,1241.04,106553600,1241.04
2003-04-25,1233.67,1240.11,1226.97,1229.14,123382800,1229.14
2003-04-24,1264.49,1264.49,1238.34,1243.01,124871400,1243.01
2003-04-23,1278.71,1283.35,1261.74,1266.08,113404000,1266.08
2003-04-22,1272.47,1278.10,1270.71,1274.37,67454600,1274.37
2003-04-21,1286.94,1287.06,1270.51,1271.29,68905000,1271.29
2003-04-17,1288.58,1295.62,1279.25,1282.51,132478000,1282.51
2003-04-16,1299.43,1300.76,1289.28,1292.35,145106800,1292.35
2003-04-15,1291.94,1295.05,1285.74,1291.83,98837400,1291.83
2003-04-14,1298.64,1299.82,1279.12,1282.87,113995600,1282.87
2003-04-11,1297.38,1309.05,1296.21,1301.02,103423000,1301.02
2003-04-10,1287.66,1303.84,1286.18,1295.91,136431600,1295.91
2003-04-09,1311.83,1312.02,1290.79,1292.85,129949600,1292.85
2003-04-08,1322.66,1335.11,1315.01,1318.12,170211200,1318.12
2003-04-07,1314.40,1344.27,1313.05,1338.83,196777200,1338.83
2003-04-04,1300.56,1316.19,1296.07,1313.73,128046400,1313.73
2003-04-03,1311.25,1316.22,1301.86,1302.54,133985200,1302.54
2003-04-02,1284.03,1303.72,1279.49,1299.77,144008600,1299.77
2003-04-01,1260.03,1292.24,1260.03,1282.58,126205400,1282.58
2003-03-31,1303.05,1303.10,1267.82,1267.82,119561200,1267.82
2003-03-28,1310.45,1321.46,1304.39,1318.43,103903600,1318.43
2003-03-27,1321.14,1325.04,1310.19,1313.65,78640600,1313.65
2003-03-26,1316.75,1330.93,1316.62,1325.00,123031800,1325.00
2003-03-25,1283.10,1311.32,1282.37,1311.32,93203200,1311.32
2003-03-24,1333.80,1337.38,1298.61,1299.56,119865800,1299.56
2003-03-21,1306.25,1338.71,1301.87,1326.15,115563800,1326.15
2003-03-20,1304.68,1318.53,1301.99,1308.17,159889200,1308.17
2003-03-19,1272.93,1291.43,1270.76,1285.01,161257200,1285.01
2003-03-18,1258.65,1275.85,1257.06,1274.12,146225600,1274.12
2003-03-17,1245.42,1245.42,1224.59,1234.42,92523200,1234.42
2003-03-14,1254.09,1258.57,1243.94,1250.88,122179200,1250.88
2003-03-13,1234.20,1239.71,1226.46,1231.77,87356400,1231.77
2003-03-12,1210.61,1234.80,1210.07,1233.68,114396000,1233.68
2003-03-11,1209.15,1219.61,1205.31,1216.11,121442000,1216.11
2003-03-10,1232.83,1235.86,1213.82,1213.82,77530400,1213.82
2003-03-07,1240.23,1240.25,1222.45,1226.15,103485400,1226.15
2003-03-06,1266.15,1266.56,1243.05,1243.82,102793200,1243.82
2003-03-05,1265.64,1268.31,1262.18,1265.50,80768800,1265.50
2003-03-04,1279.98,1280.09,1263.60,1268.96,108818000,1268.96
2003-03-03,1278.35,1291.75,1274.62,1279.20,94119600,1279.20
2003-02-28,1284.18,1289.66,1273.85,1273.85,83558200,1273.85
2003-02-27,1283.26,1286.79,1271.25,1271.25,112327200,1271.25
2003-02-26,1293.01,1297.10,1283.08,1287.14,69772600,1287.14
2003-02-25,1300.87,1301.48,1286.67,1290.44,89385400,1290.44
2003-02-24,1319.50,1319.95,1306.79,1306.79,86849800,1306.79
2003-02-21,1312.00,1318.93,1308.67,1315.03,122140800,1315.03
2003-02-20,1311.31,1323.50,1308.50,1312.41,115841400,1312.41
2003-02-19,1302.50,1315.53,1293.69,1315.53,86845600,1315.53
2003-02-18,1304.06,1304.20,1287.13,1293.81,74150000,1293.81
2003-02-17,1285.16,1306.67,1284.23,1301.19,108529600,1301.19
2003-02-14,1273.15,1280.99,1268.63,1273.48,87904400,1273.48
2003-02-13,1287.19,1288.99,1268.16,1268.33,79866800,1268.33
2003-02-11,1288.60,1303.22,1287.84,1295.97,90558200,1295.97
2003-02-10,1279.82,1286.77,1273.94,1282.73,74719200,1282.73
2003-02-07,1284.73,1291.61,1280.97,1285.41,81412000,1285.41
2003-02-06,1291.98,1293.73,1277.81,1287.63,111015800,1287.63
2003-02-05,1296.47,1299.03,1288.17,1291.89,87898800,1291.89
2003-02-04,1299.79,1309.80,1293.15,1296.59,79933800,1296.59
2003-01-31,1286.17,1291.67,1280.40,1291.44,43362600,1291.44
2003-01-30,1309.24,1311.43,1291.55,1295.89,83278000,1295.89
2003-01-29,1341.38,1343.05,1302.85,1302.85,100167600,1302.85
2003-01-28,1328.57,1343.39,1328.54,1339.69,98472400,1339.69
2003-01-27,1343.43,1343.43,1326.82,1331.25,91607400,1331.25
2003-01-24,1368.58,1373.19,1353.50,1358.04,108099600,1358.04
2003-01-23,1358.74,1373.88,1358.54,1364.41,135947200,1364.41
2003-01-22,1362.76,1375.07,1359.11,1369.13,96912800,1369.13
2003-01-21,1366.43,1378.49,1364.36,1365.32,114904800,1365.32
2003-01-20,1360.29,1365.97,1356.41,1363.19,79665200,1363.19
2003-01-17,1374.00,1377.46,1366.61,1366.83,124943000,1366.83
2003-01-16,1383.45,1390.14,1374.97,1379.52,121066000,1379.52
2003-01-15,1403.65,1404.41,1386.62,1386.62,162102800,1386.62
2003-01-14,1386.21,1406.31,1380.45,1401.37,182545000,1401.37
2003-01-13,1349.56,1390.72,1349.53,1386.05,202608000,1386.05
2003-01-10,1339.42,1350.91,1335.46,1347.17,148620600,1347.17
2003-01-09,1324.01,1343.53,1324.01,1335.09,101520000,1335.09
2003-01-08,1318.66,1335.23,1318.66,1332.32,73345200,1332.32
2003-01-07,1335.03,1335.93,1316.28,1318.74,98270000,1318.74
2003-01-06,1342.99,1345.62,1328.37,1331.62,64748800,1331.62
2003-01-03,1355.61,1358.35,1339.16,1339.93,111639200,1339.93
2003-01-02,1338.02,1339.13,1332.45,1335.98,46267400,1335.98
2002-12-31,1331.22,1343.68,1330.02,1341.03,36879000,1341.03
2002-12-30,1335.44,1335.50,1325.09,1331.95,38875800,1331.95
2002-12-27,1330.06,1343.03,1328.34,1341.58,41508800,1341.58
2002-12-26,1337.56,1337.56,1328.31,1331.45,27569800,1331.45
2002-12-24,1334.08,1337.46,1329.83,1337.19,30187000,1337.19
2002-12-23,1345.24,1345.24,1332.44,1335.09,49843200,1335.09
2002-12-20,1349.02,1349.55,1335.07,1337.45,83447000,1337.45
2002-12-19,1330.15,1354.63,1329.36,1354.63,117889600,1354.63
2002-12-18,1337.96,1348.81,1334.66,1334.66,113473000,1334.66
2002-12-17,1365.52,1369.42,1339.68,1343.01,156930000,1343.01
2002-12-16,1361.91,1363.34,1344.59,1360.83,110704000,1360.83
2002-12-13,1376.00,1379.40,1362.65,1367.48,105616200,1367.48
2002-12-12,1374.42,1383.87,1369.78,1381.73,78297600,1381.73
2002-12-11,1373.65,1381.47,1369.31,1374.38,111897200,1374.38
2002-12-10,1341.48,1373.09,1339.13,1367.10,163331200,1367.10
2002-12-09,1361.81,1371.12,1347.92,1347.92,121681400,1347.92
2002-12-05,1360.85,1372.88,1360.76,1365.54,117767200,1365.54
2002-12-04,1371.97,1375.09,1361.19,1366.00,125339600,1366.00
2002-12-03,1392.86,1400.64,1381.87,1381.87,157743400,1381.87
2002-12-02,1393.11,1396.81,1380.60,1396.81,138180000,1396.81
2002-11-29,1408.73,1408.85,1391.22,1391.53,330693600,1391.53
2002-11-28,1411.75,1417.79,1402.95,1404.04,291120200,1404.04
2002-11-27,1399.86,1407.42,1394.17,1394.94,128400800,1394.94
2002-11-26,1422.13,1422.13,1402.71,1405.27,87417600,1405.27
2002-11-25,1422.31,1437.00,1419.68,1423.52,135729000,1423.52
2002-11-22,1411.52,1426.14,1408.60,1423.61,202136000,1423.61
2002-11-21,1396.08,1401.40,1392.29,1398.90,84744600,1398.90
2002-11-20,1383.48,1391.06,1381.10,1383.31,61539400,1383.31
2002-11-19,1391.22,1404.15,1388.27,1393.77,51152400,1393.77
2002-11-18,1410.79,1412.89,1390.89,1397.20,63503200,1397.20
2002-11-15,1399.01,1414.85,1399.01,1414.85,97445200,1414.85
2002-11-14,1399.01,1405.24,1391.12,1391.16,85077600,1391.16
2002-11-13,1402.01,1410.46,1394.53,1394.75,85581600,1394.75
2002-11-12,1395.04,1407.23,1393.40,1405.99,63309400,1405.99
2002-11-11,1415.72,1415.85,1404.39,1404.39,47500600,1404.39
2002-11-08,1420.24,1428.89,1417.26,1425.91,56473000,1425.91
2002-11-07,1447.77,1452.07,1424.43,1426.36,83678200,1426.36
2002-11-06,1437.85,1454.63,1437.68,1447.74,99847600,1447.74
2002-11-05,1444.06,1444.44,1426.54,1434.04,87787400,1434.04
2002-11-01,1454.30,1456.09,1427.60,1427.60,83456800,1427.60
