Date;DFM.Close
2008-06-25;5,2
2008-06-26;5,24
2008-06-29;5,09
2008-06-30;5,09
2008-07-01;5,22
2008-07-02;5,16
2008-07-03;5,11
2008-07-06;4,99
2008-07-07;4,95
2008-07-08;4,93
2008-07-09;5,07
2008-07-10;4,95
2008-07-13;4,83
2008-07-14;4,84
2008-07-15;4,66
2008-07-16;4,58
2008-07-17;4,54
2008-07-20;4,58
2008-07-21;4,62
2008-07-22;4,53
2008-07-23;4,82
2008-07-24;4,72
2008-07-27;4,68
2008-07-28;4,59
2008-07-29;4,55
2008-07-30;4,62
2008-08-03;4,65
2008-08-04;4,59
2008-08-05;4,52
2008-08-06;4,37
2008-08-07;4,4
2008-08-10;4,11
2008-08-11;3,87
2008-08-12;3,88
2008-08-13;4,13
2008-08-14;3,96
2008-08-17;3,95
2008-08-18;3,97
2008-08-19;4,01
2008-08-20;3,96
2008-08-21;3,88
2008-08-24;4,01
2008-08-25;3,9
2008-08-26;3,68
2008-08-27;3,8
2008-08-28;3,78
2008-08-31;3,72
2008-09-01;3,72
2008-09-02;3,71
2008-09-03;3,77
2008-09-04;3,71
2008-09-07;3,47
2008-09-08;3,45
2008-09-09;3,48
2008-09-10;3,47
2008-09-11;3,36
2008-09-14;3,19
2008-09-15;3,25
2008-09-16;3,07
2008-09-17;3,23
2008-09-18;3,1
2008-09-21;3,56
2008-09-22;3,47
2008-09-23;3,32
2008-09-24;3,15
2008-09-25;3,27
2008-09-28;3,38
2008-09-29;3,39
2008-10-05;3,14
2008-10-06;2,85
2008-10-07;2,65
2008-10-08;2,31
2008-10-09;2,4
2008-10-12;2,21
2008-10-13;2,54
2008-10-14;2,92
2008-10-15;2,74
2008-10-16;2,54
2008-10-19;2,6
2008-10-20;2,74
2008-10-21;2,82
2008-10-22;2,6
2008-10-23;2,64
2008-10-26;2,45
2008-10-27;2,28
2008-10-28;2,29
2008-10-29;2,25
2008-10-30;2,22
2008-11-02;2,26
2008-11-03;2,25
2008-11-04;2,27
2008-11-05;2,23
2008-11-06;2,03
2008-11-09;1,98
2008-11-10;2
2008-11-11;1,8
2008-11-12;1,75
2008-11-13;1,67
2008-11-16;1,51
2008-11-17;1,73
2008-11-18;1,56
2008-11-19;1,61
2008-11-20;1,49
2008-11-23;1,35
2008-11-24;1,22
2008-11-25;1,14
2008-11-26;1,16
2008-11-27;1,27
2008-11-30;1,31
2008-12-01;1,33
2008-12-11;1,32
2008-12-14;1,27
2008-12-15;1,25
2008-12-16;1,21
2008-12-17;1,25
2008-12-18;1,31
2008-12-21;1,18
2008-12-22;1,13
2008-12-23;1,17
2008-12-24;1,11
2008-12-25;1,14
2008-12-29;1,23
2008-12-30;1,28
2008-12-31;1,25
2009-01-05;1,43
2009-01-06;1,35
2009-01-07;1,42
2009-01-08;1,34
2009-01-11;1,33
2009-01-12;1,39
2009-01-13;1,32
2009-01-14;1,27
2009-01-15;1,19
2009-01-18;1,17
2009-01-19;1,11
2009-01-20;1
2009-01-21;0,9
2009-01-22;0,88
2009-01-25;0,81
2009-01-26;0,83
2009-01-27;0,89
2009-01-28;0,88
2009-01-29;0,87
2009-02-01;0,82
2009-02-02;0,8
2009-02-03;0,76
2009-02-04;0,77
2009-02-05;0,77
2009-02-08;0,83
2009-02-09;0,81
2009-02-10;0,93
2009-02-11;1,06
2009-02-12;1,11
2009-02-15;1,06
2009-02-16;1,05
2009-02-17;1,08
2009-02-18;1,24
2009-02-19;1,42
2009-02-22;1,28
2009-02-23;1,47
2009-02-24;1,33
2009-02-25;1,2
2009-02-26;1,24
2009-03-01;1,24
2009-03-02;1,17
2009-03-03;1,09
2009-03-04;1,23
2009-03-05;1,2
2009-03-09;1,2
2009-03-10;1,17
2009-03-11;1,17
2009-03-12;1,17
2009-03-15;1,24
2009-03-16;1,2
2009-03-17;1,19
2009-03-18;1,21
2009-03-19;1,23
2009-03-22;1,22
2009-03-23;1,23
2009-03-24;1,32
2009-03-25;1,28
2009-03-26;1,28
2009-03-29;1,28
2009-03-30;1,24
2009-03-31;1,23
2009-04-01;1,24
2009-04-02;1,31
2009-04-05;1,42
2009-04-06;1,39
2009-04-07;1,36
2009-04-08;1,37
2009-04-09;1,43
2009-04-12;1,45
2009-04-13;1,39
2009-04-14;1,36
2009-04-15;1,38
2009-04-16;1,38
2009-04-19;1,43
2009-04-20;1,35
2009-04-21;1,34
2009-04-22;1,37
2009-04-23;1,33
2009-04-26;1,32
2009-04-27;1,26
2009-04-28;1,26
2009-04-29;1,3
2009-04-30;1,31
2009-05-03;1,26
2009-05-04;1,32
2009-05-05;1,34
2009-05-06;1,36
2009-05-07;1,35
2009-05-10;1,4
2009-05-11;1,36
2009-05-12;1,37
2009-05-13;1,37
2009-05-14;1,34
2009-05-17;1,32
2009-05-18;1,35
2009-05-19;1,37
2009-05-20;1,35
2009-05-21;1,36
2009-05-24;1,42
2009-05-25;1,37
2009-05-26;1,46
2009-05-27;1,48
2009-05-28;1,48
2009-05-31;1,61
2009-06-01;1,7
2009-06-02;1,86
2009-06-03;1,93
2009-06-04;1,96
2009-06-07;1,99
